Cell ID,Cell Stage,Sphericity,Elongation,Flatness,Squareness,Entropy,Surface Volume,Convexity,Cell Volume: Embryo Volume,Surface (microns squared),Volume (microns cubed)
AB2,2,94.5091,0.457412,17.6975,59.052,97.8262,4.30893,99.5911,50.8351,68197,1582689
AB2*,2,94.9538,2.96326,13.5532,57.0804,97.5614,4.34357,99.6412,49.1649,66486,1530692
A3,4,84.636,30.1205,18.7946,47.0718,80.4122,6.05872,97.3751,25.1749,43011,709904
A3*,4,86.629,27.8863,17.6974,47.7384,82.3582,6.01722,98.9511,24.5305,41623,691731
B3,4,84.3313,35.7496,7.61996,48.0004,77.3691,6.04914,98.8011,25.4778,43459,718444
B3*,4,83.5157,36.3287,9.971,47.6721,77.5666,6.14204,98.79,24.8168,42982,699805
A4.1,8,93.5482,10.0078,5.73848,46.1822,97.7935,7.35561,98.3976,14.6052,23886,324732
A4.1*,8,92.7989,5.57612,5.6477,45.3514,98.6102,7.27717,98.5123,15.3272,24799,340784
a4.2,8,90.3638,6.21058,6.01209,43.2031,96.9938,8.47982,98.014,10.2161,19261,227145
a4.2*,8,92.0086,13.6012,0.937986,48.0551,97.1438,8.30155,99.2402,10.5027,19385,233516
B4.1,8,88.4581,13.7102,14.7559,42.7808,92.434,7.98494,97.1598,12.7686,22669,283897
B4.1*,8,89.7559,24.8073,3.25832,48.1955,93.3356,7.73687,98.0072,13.6337,23452,303131
b4.2,8,84.8605,14.8075,5.31712,39.5603,97.3266,8.71805,92.9355,10.6602,20663,237019
b4.2*,8,88.7459,15.0986,7.99682,42.8879,98.0485,8.07061,96.2285,12.2862,22046,273172
A4.1,8,87.6489,7.70967,7.92767,38.8274,97.7577,7.43672,96.1986,14.854,26619,357944
A4.1*,8,86.504,8.86199,8.20302,37.1404,98.1653,7.5567,95.5364,14.5348,26467,350253
a4.2,8,88.5498,16.1781,0.601596,43.8102,97.0151,8.26374,97.8969,10.6066,21121,255591
a4.2*,8,88.1741,14.2017,2.1259,41.358,95.9225,8.31638,97.8218,10.4953,21033,252911
B4.1,8,87.2352,17.008,3.1535,41.3302,94.797,7.65753,97.5353,13.735,25344,330980
B4.1*,8,85.0646,13.4206,14.1587,40.7246,92.5078,7.70878,96.469,14.1587,26301,341190
b4.2,8,87.2973,17.659,3.54007,43.3968,97.9074,8.4023,96.6938,10.382,21021,250181
b4.2*,8,86.6534,17.2826,6.22115,41.4586,96.8936,8.22492,95.7061,11.2334,22264,270698
A5.1,16,80.6556,10.7794,19.6616,36.9546,93.9866,12.9529,88.6957,6.41059,10362,79998
A5.1*,16,83.5083,14.0648,8.79263,39.8014,95.9968,12.4774,91.8926,6.6901,10416,83486
A5.2,16,81.4298,14.0798,2.35889,36.6438,97.9477,12.9571,90.0311,6.28312,10159,78407
A5.2*,16,85.4829,8.79182,15.0118,37.2088,95.3836,12.0097,92.4457,7.15997,10730,89350
a5.3,16,84.6035,24.166,17.0209,43.6386,90.1768,14.3563,95.4985,4.27923,7666,53401
a5.3*,16,82.1244,31.3937,15.7099,47.3322,87.7103,14.4886,94.2541,4.4182,7988,55135
a5.4,16,74.4282,4.68339,50.5162,40.2447,84.749,15.0687,93.9046,4.78148,8991,59668
a5.4*,16,76.03,0.737786,38.6367,42.669,90.2294,14.5499,90.5269,5.09002,9241,63519
B5.1,16,83.2252,13.3016,30.8062,49.9296,91.4643,10.5515,93.321,11.1381,14665,138993
B5.1*,16,80.4471,17.1581,35.5877,49.4427,89.7546,10.499,92.6689,12.1004,15853,151002
B5.2,16,87.0512,26.3645,1.96258,47.0109,87.358,14.4846,95.7403,3.93547,7113,49111
B5.2*,16,79.7157,15.9411,12.929,46.9562,95.2318,15.367,89.8058,3.9302,7536,49045
b5.3,16,81.1983,9.61559,26.0619,38.6358,92.7846,13.5901,90.3804,5.47651,11446,86772
b5.3*,16,80.7445,18.5948,25.5621,43.1477,93.637,14.0574,90.4694,5.0041,8778,62446
b5.4,16,85.1433,19.9635,17.1998,38.773,95.9055,12.5338,92.723,6.34914,9930,79231
b5.4*,16,75.3524,21.5605,12.5597,35.7005,94.4669,13.1914,85.47,6.9534,9287,68342
A5.1,16,71.309,33.806,6.31658,37.4833,85.5225,12.3364,79.5756,6.43102,14614,118467
A5.1*,16,73.8054,37.7285,1.30585,39.1658,81.5745,12.1314,80.5881,6.31279,14107,116289
