Cell pair,Developmental Stage,Average Proportional Volume (%),Difference in Propotional Volume (%),Significance Criterion A (0.05),Significance Criterion B (0.01),Significant (A),Significant (B),Difference in actual volume (um^3)
AB2, AB2*,2,50,1.6702,2.5,0.5,,1,51997
A3, B3,4,25.3264,0.6444,1.26632,0.253264,,1,18173
A3*, B3*,4,24.6737,0.661,1.233685,0.246737,,1,18639
A4.1, A4.1*,8,14.9662,0.722,0.74831,0.149662,,1,16052
a4.2, a4.2*,8,10.3594,0.2866,0.51797,0.103594,,1,6371
B4.1, B4.1*,8,13.20115,0.8651,0.6600575,0.1320115,1,1,19234
b4.2, b4.2*,8,11.4732,1.626,0.57366,0.114732,1,1,36153
A4.1, A4.1*,8,14.6944,0.3192,0.73472,0.146944,,1,7691
a4.2, a4.2*,8,10.55095,0.1113,0.5275475,0.1055095,,1,2680
B4.1, B4.1*,8,13.94685,0.4237,0.6973425,0.1394685,,1,10210
b4.2, b4.2*,8,10.8077,0.8514,0.540385,0.108077,1,1,20517
A5.1, A5.1*,16,6.550345,0.27951,0.32751725,0.06550345,,1,3488
A5.2, A5.2*,16,6.721545,0.87685,0.33607725,0.06721545,1,1,10943
a5.3, a5.3*,16,4.348715,0.13897,0.21743575,0.04348715,,1,1734
a5.4, a5.4*,16,4.93575,0.30854,0.2467875,0.0493575,1,1,3851
B5.1, B5.1*,16,11.61925,0.9623,0.5809625,0.1161925,1,1,12009
B5.2, B5.2*,16,3.932835,0.00527,0.19664175,0.03932835,,,66
b5.3, b5.3*,16,5.240305,0.47241,0.26201525,0.05240305,1,1,24326
b5.4, b5.4*,16,6.65127,0.60426,0.3325635,0.0665127,1,1,10889
A5.1, A5.1*,16,6.371905,0.11823,0.31859525,0.06371905,,1,2178
A5.2, A5.2*,16,6.46213,0.32206,0.3231065,0.0646213,,1,5933
a5.3, a5.3*,16,4.77754,0.09066,0.238877,0.0477754,,1,1670
a5.4, a5.4*,16,5.69017,0.47334,0.2845085,0.0569017,1,1,8720
B5.1, B5.1*,16,10.29874,1.36812,0.514937,0.1029874,1,1,25203
B5.2, B5.2*,16,4.33211,0.01352,0.2166055,0.0433211,,,249
b5.3, b5.3*,16,5.734295,0.35767,0.28671475,0.05734295,1,1,18347
b5.4, b5.4*,16,6.3331,0.43664,0.316655,0.063331,1,1,3715
A5.1, A5.1*,16,7.50596,0.1898,0.375298,0.0750596,,1,3904
A5.2, A5.2*,16,6.529885,0.02293,0.32649425,0.06529885,,,472
a5.3, a5.3*,16,4.54936,0.60166,0.227468,0.0454936,1,1,12376
a5.4, a5.4*,16,4.73932,0.19082,0.236966,0.0473932,,1,3925
B5.1, B5.1*,16,10.87335,0.1167,0.5436675,0.1087335,,1,2400
B5.2, B5.2*,16,4.48364,0.0082,0.224182,0.0448364,,,168
b5.3, b5.3*,16,4.998785,0.49185,0.24993925,0.04998785,1,1,27131
b5.4, b5.4*,16,6.319745,0.48789,0.31598725,0.06319745,1,1,27212
a5.3, a5.3*,24,4.40452,0.0247,0.220226,0.0440452,,,437
a5.4, a5.4*,24,4.791795,0.42815,0.23958975,0.04791795,1,1,7585
A6.1, A6.1*,24,2.553025,0.15317,0.12765125,0.02553025,1,1,2714
A6.2, A6.2*,24,3.33536,0.2301,0.166768,0.0333536,1,1,4077
A6.3, A6.3*,24,3.701625,0.17565,0.18508125,0.03701625,,1,3112
A6.4, A6.4*,24,3.811655,0.38989,0.19058275,0.03811655,1,1,6907
b5.3, b5.3*,24,5.55233,0.49772,0.2776165,0.0555233,1,1,8817
b5.4, b5.4*,24,6.15787,0.58114,0.3078935,0.0615787,1,1,10296
B6.1, B6.1*,24,4.647995,0.25493,0.23239975,0.04647995,1,1,4516
B6.2, B6.2*,24,5.79641,0.51576,0.2898205,0.0579641,1,1,9137
B6.3, B6.3*,24,1.42343,0.01812,0.0711715,0.0142343,,1,321
B6.4, B6.4*,24,3.823995,0.27693,0.19119975,0.03823995,1,1,4906
A6.1, A6.1*,32,3.055735,0.33867,0.15278675,0.03055735,1,1,5535
A6.2, A6.2*,32,2.92795,0.04236,0.1463975,0.0292795,,1,693
A6.3, A6.3*,32,3.175625,0.03797,0.15878125,0.03175625,,1,620
A6.4, A6.4*,32,3.04975,0.04464,0.1524875,0.0304975,,1,730
a6.5, a6.5*,32,2.063945,0.10535,0.10319725,0.02063945,1,1,1722
a6.6, a6.6*,32,2.76451,0.21928,0.1382255,0.0276451,1,1,3583
a6.7, a6.7*,32,2.304305,0.15009,0.11521525,0.02304305,1,1,2452
a6.8, a6.8*,32,3.33333,0.01772,0.1666665,0.0333333,,,335
B6.1, B6.1*,32,4.208935,0.00403,0.21044675,0.04208935,,,66
B6.2, B6.2*,32,5.6985,0.09722,0.284925,0.056985,,1,1589
B6.3, B6.3*,32,0.859288,0.10847,0.0429644,0.00859288,1,1,1772
B6.4, B6.4*,32,3.229075,0.13741,0.16145375,0.03229075,,1,2245
b6.5, b6.5*,32,2.85449,0.16746,0.1427245,0.0285449,1,1,2736
b6.6, b6.6*,32,3.271595,0.05979,0.16357975,0.03271595,,1,977
b6.7, b6.7*,32,3.39065,0.05596,0.1695325,0.0339065,,1,1539
b6.8, b6.8*,32,3.81232,0.13276,0.190616,0.0381232,,1,2169
A6.1, A6.1*,32,3.54251,0.33318,0.1771255,0.0354251,1,1,5833
A6.2, A6.2*,32,2.91132,0.10636,0.145566,0.0291132,,1,1862
A6.3, A6.3*,32,3.16773,0.37408,0.1583865,0.0316773,1,1,6549
A6.4, A6.4*,32,3.270505,0.01347,0.16352525,0.03270505,,,236
a6.5, a6.5*,32,2.241975,0.02475,0.11209875,0.02241975,,1,433
a6.6, a6.6*,32,2.842295,0.02557,0.14211475,0.02842295,,,448
a6.7, a6.7*,32,2.39968,0.40104,0.119984,0.0239968,1,1,7021
a6.8, a6.8*,32,3.02885,0.22618,0.1514425,0.0302885,1,1,4852
B6.1, B6.1*,32,4.448935,0.23351,0.22244675,0.04448935,1,1,4087
B6.2, B6.2*,32,5.93384,0.89194,0.296692,0.0593384,1,1,15615
B6.3, B6.3*,32,1.1264095,0.308381,0.056320475,0.011264095,1,1,5399
B6.4, B6.4*,32,3.08444,0.40404,0.154222,0.0308444,1,1,7073
b6.5, b6.5*,32,2.640315,0.02713,0.13201575,0.02640315,,1,475
b6.6, b6.6*,32,2.882095,0.07023,0.14410475,0.02882095,,1,1230
b6.7, b6.7*,32,3.16941,0.04698,0.1584705,0.0316941,,1,70
b6.8, b6.8*,32,3.309695,0.06893,0.16548475,0.03309695,,1,1206
A6.1, A6.1*,32,3.73931,0.33894,0.1869655,0.0373931,1,1,5651
A6.2, A6.2*,32,3.372895,0.12981,0.16864475,0.03372895,,1,2164
A6.3, A6.3*,32,3.50199,0.20342,0.1750995,0.0350199,1,1,3391
A6.4, A6.4*,32,3.9674,0.38968,0.19837,0.039674,1,1,6497
a6.5, a6.5*,32,1.85712,0.05958,0.092856,0.0185712,,1,993
a6.6, a6.6*,32,2.538975,0.12755,0.12694875,0.02538975,1,1,2126
a6.7, a6.7*,32,1.81529,0.16654,0.0907645,0.0181529,1,1,2776
a6.8, a6.8*,32,2.774765,0.17659,0.13873825,0.02774765,1,1,2411
B6.1, B6.1*,32,3.972225,0.45449,0.19861125,0.03972225,1,1,7578
B6.2, B6.2*,32,6.01939,0.29686,0.3009695,0.0601939,,1,4950
B6.3, B6.3*,32,0.7948555,0.161041,0.039742775,0.007948555,1,1,2685
B6.4, B6.4*,32,3.70741,0.4273,0.1853705,0.0370741,1,1,7124
b6.5, b6.5*,32,2.94483,0.3636,0.1472415,0.0294483,1,1,6062
b6.6, b6.6*,32,2.8284,0.27634,0.14142,0.028284,1,1,4607
b6.7, b6.7*,32,2.87419,0.31148,0.1437095,0.0287419,1,1,5726
b6.8, b6.8*,32,3.29095,0.26202,0.1645475,0.0329095,1,1,4368
a6.5, a6.5*,44,1.70538,0.06822,0.085269,0.0170538,,1,1594
a6.6, a6.6*,44,2.777605,0.05975,0.13888025,0.02777605,,1,1396
a6.7, a6.7*,44,2.483375,0.38015,0.12416875,0.02483375,1,1,8884
a6.8, a6.8*,44,3.180225,0.14391,0.15901125,0.03180225,,1,3363
A7.1, A7.1*,44,1.430365,0.09153,0.07151825,0.01430365,1,1,2138
A7.2, A7.2*,44,1.89932,0.29438,0.094966,0.0189932,1,1,6879
A7.3, A7.3*,44,1.448755,0.08609,0.07243775,0.01448755,1,1,2012
A7.4, A7.4*,44,1.296925,0.06761,0.06484625,0.01296925,1,1,1580
A7.5, A7.5*,44,1.72968,0.14096,0.086484,0.0172968,1,1,3294
A7.6, A7.6*,44,1.756795,0.25323,0.08783975,0.01756795,1,1,5918
A7.7, A7.7*,44,1.49471,0.07568,0.0747355,0.0149471,1,1,1769
