Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
AB2,2,50.8351,A3,4,25.1749,0.1824,1
AB2,2,50.8351,B3,4,25.4778,,
AB2*,2,49.1649,A3*,4,24.5305,-0.1824,2
AB2*,2,49.1649,B3*,4,24.8168,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A3,4,25.1749,A4.1,8,14.6052,0.3536,1
A3,4,25.1749,a4.2,8,10.2161,,
A3*,4,24.5305,A4.1*,8,15.3272,-1.2994,2
A3*,4,24.5305,a4.2*,8,10.5027,,
B3,4,25.4778,B4.1,8,12.7686,2.049,3
B3,4,25.4778,b4.2,8,10.6602,,
B3*,4,24.8168,B4.1*,8,13.6337,-1.1031,4
B3*,4,24.8168,b4.2*,8,12.2862,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A4.1,8,14.6052,A5.1,16,6.41059,1.91149,1
A4.1,8,14.6052,A5.2,16,6.28312,,
a4.2,8,10.2161,a5.3,16,4.27923,1.15539,2
a4.2,8,10.2161,a5.4,16,4.78148,,
A4.1*,8,15.3272,A5.1*,16,6.6901,1.47713,3
A4.1*,8,15.3272,A5.2*,16,7.15997,,
a4.2*,8,10.5027,a5.3*,16,4.4182,0.99448,4
a4.2*,8,10.5027,a5.4*,16,5.09002,,
B4.1,8,12.7686,B5.1,16,11.1381,-2.30497,5
B4.1,8,12.7686,B5.2,16,3.93547,,
b4.2,8,10.6602,b5.3,16,5.47651,-1.16545,6
b4.2,8,10.6602,b5.4,16,6.34914,,
B4.1*,8,13.6337,B5.1*,16,12.1004,-2.3969,7
B4.1*,8,13.6337,B5.2*,16,3.9302,,
b4.2*,8,12.2862,b5.3*,16,5.0041,0.3287,8
b4.2*,8,12.2862,b5.4*,16,6.9534,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A5.1,16,6.41059,A6.1,24,2.62961,0.56067,1
A5.1,16,6.41059,A6.2,24,3.22031,,
A5.2,16,6.28312,A6.3,24,3.6138,-0.94739,2
A5.2,16,6.28312,A6.4,24,3.61671,,
a5.3,16,4.27923,a5.3,24,4.39217,-0.11294,N/A
a5.4,16,4.78148,a5.4,24,5.00587,-0.22439,N/A
A5.1*,16,6.6901,A6.1*,24,2.47644,0.76325,3
A5.1*,16,6.6901,A6.2*,24,3.45041,,
A5.2*,16,7.15997,A6.3*,24,3.78945,-0.63608,4
A5.2*,16,7.15997,A6.4*,24,4.0066,,
a5.3*,16,4.4182,a5.3*,24,4.41687,0.00133,N/A
a5.4*,16,5.09002,a5.4*,24,4.57772,0.5123,N/A
B5.1,16,11.1381,B6.1,24,4.52053,1.07904,5
B5.1,16,11.1381,B6.2,24,5.53853,,
B5.2,16,3.93547,B6.3,24,1.41437,-1.44136,6
B5.2,16,3.93547,B6.4,24,3.96246,,
b5.3,16,5.47651,b5.3,24,5.80119,-0.32468,N/A
b5.4,16,6.34914,b5.4,24,5.8673,0.48184,N/A
B5.1*,16,12.1004,B6.1*,24,4.77546,1.27065,7
